clientid,name,dob,incomeytd,account_balance,account_type,employment_status,address,email,phone_number,credit_score
1,Norma Fisher,6/27/1956,212661.24,483916.1,Savings,Retired,"5938 Juan Throughway Apt. 948, West Corey, CA 90152",thomas15@example.com,993-787-7840x80160,714
2,Frederick Harrell,11/14/1951,150011.69,399801.59,Checking,Retired,"711 Golden Overpass, West Andreaville, OH 44115",tamaramorrison@example.net,671-996-5934x2320,397
3,Michael Anderson,1/17/1949,84435.42,158440.25,Investment,Student,"848 Melissa Springs Suite 947, Kellerstad, CO 43010",tuckercrystal@example.org,204.313.5256,662
4,Savannah Robinson,6/22/1994,241985.53,458039.24,Mortgage,Self-Employed,"13991 Davis Village, North Catherineborough, HI 94625",mendozajessica@example.org,+1-208-969-1413x14562,363
5,Brian Mcneil,6/8/1952,182729.12,365274.15,Savings,Self-Employed,"230 Megan Junctions Suite 197, North Thomas, MT 75095",deborah64@example.org,-2263,641
6,Dwayne Howard,4/22/2003,55856.1,496614.17,Checking,Unemployed,"610 Holly Estate Apt. 376, Johnsonshire, MT 87296",martincaleb@example.net,(778)678-9007,393
7,Amber Carson,2/28/2005,36173.88,273841.44,Savings,Self-Employed,"206 Stewart Forest, Lake Karenhaven, RI 13317",davidbanks@example.com,721-376-1047x142,508
8,Diana Smith,8/20/1941,116797.37,95100.97,Investment,Self-Employed,"9097 Bowman Landing Apt. 369, Alanberg, KY 44201",kristine15@example.net,4046229456,597
9,Nicholas Peck,10/27/1959,17913.38,461728.82,Mortgage,Employed,"6546 Cory Orchard, Rogersmouth, DE 63295",lyonsronald@example.com,822-696-1113x30601,433
10,John Richards,2/4/1985,225561.55,412719.02,Investment,Self-Employed,"49263 Wilson View Apt. 873, South Raymondborough, SD 06019",cindygarcia@example.com,(758)921-9729x6687,520
11,Miss Shelly Daniels DVM,7/13/1939,149126.8,58117.2,Mortgage,Retired,"0824 Megan Prairie Suite 711, North Jeffreyton, ME 02504",krivera@example.org,+1-875-586-8809x1891,632
12,Steven Butler,1/18/2005,212818.62,397394.19,Savings,Retired,"930 Joy Hollow Suite 517, Sherriport, WI 53987",dpatrick@example.org,+1-423-745-0076x2791,525
13,Logan Hughes,1/26/1942,112271.47,317286.1,Savings,Unemployed,"09925 Isabel Run, Jamesfort, DE 08386",vmendez@example.net,294-826-4183,346
14,Peter Gibson,8/6/1992,16407.23,18677.82,Savings,Student,"USS Tucker, FPO AE 68666",jerryfrank@example.net,001-388-368-4126x96116,679
15,Christopher Blevins,9/19/1992,56701.83,272345.59,Savings,Student,"75415 David Square Apt. 552, Port Terristad, CA 78697",jaredharris@example.net,001-710-645-0932x2717,362
16,Vincent Cox,1/30/1971,210616.64,90568.79,Checking,Employed,"91189 Moore Drive Apt. 358, East Kari, LA 49320",ialvarado@example.net,4618126486,658
17,Henry Wright,12/5/1981,19450.89,419244.12,Mortgage,Unemployed,"6065 Harris Hill, Davisburgh, WY 14737",daniel92@example.net,962.366.2375x825,667
